"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2008",31159.8,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2009",29980.7,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2010",35165.5,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2011",38710.1,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2012",38003.7,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2013",36965,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2014",38047.9,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2015",36226,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2016",39082.3,
"AUS","TOUR_REC_EXP","INT_REC","USD","A","2017",43965.2,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2008",24187.2,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2009",21356,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2010",20798.8,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2011",22500.7,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2012",21390.4,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2013",22734.9,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2014",23143.6,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2015",20352.5,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2016",20974.8,
"AUT","TOUR_REC_EXP","INT_REC","USD","A","2017",22478.2,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2008",13117.515,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2009",13008.393,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2010",12682.7,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2011",14062.6,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2012",13723.5,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2013",14524.1,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2014",15234.9,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2015",13078.2,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2016",12693.1,
"BEL","TOUR_REC_EXP","INT_REC","USD","A","2017",13695.1,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2008",18027.4,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2009",15435.1,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2010",18451.5,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2011",19954.9,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2012",20691.7,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2013",20959.5,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2014",20773.8,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2015",19294.9,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2016",21165,
"CAN","TOUR_REC_EXP","INT_REC","USD","A","2017",23719,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2008",8801.611,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2009",7874.834,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2010",8065.4,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2011",8929,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2012",8174.1,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2013",7792.6,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2014",7619.6,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2015",6766.5,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2016",7039.7,
"CZE","TOUR_REC_EXP","INT_REC","USD","A","2017",7654.3,
