,CITY,STABBR,SAT_AVG,INSTNM,ADM_RATE,MTHCMP1,TUITIONFEE_IN
0,Normal,AL,929.0,Alabama A & M University,0.9027,,9857.0
1,Birmingham,AL,1195.0,University of Alabama at Birmingham,0.9181,,8328.0
2,Montgomery,AL,,Amridge University,,,6900.0
3,Huntsville,AL,1322.0,University of Alabama in Huntsville,0.8123,,10280.0
4,Montgomery,AL,935.0,Alabama State University,0.9787,,11068.0
5,Tuscaloosa,AL,1278.0,The University of Alabama,0.5329999999999999,,10780.0
6,Alexander City,AL,,Central Alabama Community College,,,4440.0
7,Athens,AL,,Athens State University,,,
8,Montgomery,AL,1083.0,Auburn University at Montgomery,0.8254,,8020.0
9,Auburn,AL,1282.0,Auburn University,0.8393,,10968.0
10,Birmingham,AL,1231.0,Birmingham Southern College,0.6186,,35804.0
11,Phenix City,AL,,Chattahoochee Valley Community College,,,4314.0
12,Selma,AL,,Concordia College Alabama,,,10320.0
13,Montgomery,AL,,South University-Montgomery,,,17014.0
14,Enterprise,AL,,Enterprise State Community College,,,4440.0
15,Bay Minette,AL,,Coastal Alabama Community College,,,4380.0
16,Montgomery,AL,1031.0,Faulkner University,0.5101,,20970.0
17,Gadsden,AL,,Gadsden State Community College,,,3600.0
18,Albertville,AL,,New Beginning College of Cosmetology,,12.0,
19,Dothan,AL,,George C Wallace Community College-Dothan,,,4380.0
20,Hanceville,AL,,George C Wallace State Community College-Hanceville,,,3726.0
21,Selma,AL,,George C Wallace State Community College-Selma,,,4140.0
22,Birmingham,AL,,Herzing University-Birmingham,0.757,,13850.0
23,Montgomery,AL,1085.0,Huntingdon College,0.5598,,26400.0
24,Florence,AL,1030.0,Heritage Christian University,1.0,,11232.0
25,Huntsville,AL,,J. F. Drake State Community and Technical College,,,4410.0
26,Deatsville,AL,,J F Ingram State Technical College,,,4968.0
27,Jacksonville,AL,1121.0,Jacksonville State University,0.5402,,8166.0
28,Brewton,AL,,Jefferson Davis Community College,,,4088.0
29,Birmingham,AL,,Jefferson State Community College,,,4500.0
30,Tanner,AL,,John C Calhoun State Community College,,,4520.0
31,Marion,AL,1085.0,Judson College,0.507,,17896.0
32,Birmingham,AL,,Lawson State Community College,,,4440.0
33,Livingston,AL,1041.0,University of West Alabama,0.2821,,9204.0
34,Andalusia,AL,,Lurleen B Wallace Community College,,,4440.0
35,Marion,AL,1138.0,Marion Military Institute,0.5587,,9418.0
36,Fairfield,AL,,Miles College,,,11794.0
37,Mobile,AL,1113.0,University of Mobile,0.4702,,22210.0
38,Montevallo,AL,1143.0,University of Montevallo,0.6445,,12400.0
39,Muscle Shoals,AL,,Northwest-Shoals Community College,,,4411.0
40,Florence,AL,1104.0,University of North Alabama,0.7022,,8480.0
41,Rainsville,AL,,Northeast Alabama Community College,,,4440.0
42,Huntsville,AL,1005.0,Oakwood University,0.4707,,16720.0
43,Monroeville,AL,,Alabama Southern Community College,,,4380.0
44,Evergreen,AL,,Reid State Technical College,,,4500.0
45,Mobile,AL,,Bishop State Community College,,,4440.0
46,Birmingham,AL,1230.0,Samford University,0.8319,,30490.0
47,Selma,AL,,Selma University,,,7115.0
48,Tuscaloosa,AL,,Shelton State Community College,,,4189.0
49,Boaz,AL,,Snead State Community College,,,4500.0
50,Mobile,AL,1142.0,University of South Alabama,0.8208,,7812.0
51,Mobile,AL,1156.0,Spring Hill College,0.4568,,37584.0
52,Tuscaloosa,AL,,Stillman College,0.4812,,10792.0
53,Talladega,AL,,Talladega College,,,12340.0
54,Montgomery,AL,,H Councill Trenholm State Community College,,,4350.0
55,Troy,AL,1085.0,Troy University,0.8812,,8692.0
56,Tuskegee,AL,1036.0,Tuskegee University,0.5032,,22170.0
57,Daphne,AL,,United States Sports Academy,,,
58,Jasper,AL,,Bevill State Community College,,,4766.0
59,Anchorage,AK,,University of Alaska Anchorage,0.8283,,6690.0
60,Palmer,AK,,Alaska Bible College,,,9350.0
61,Fairbanks,AK,1094.0,University of Alaska Fairbanks,0.767,,6262.0
62,Juneau,AK,,University of Alaska Southeast,0.7105,,6828.0
63,Anchorage,AK,,Alaska Pacific University,0.86,,20760.0
64,Seward,AK,,AVTEC-Alaska's Institute of Technology,,11.0,
65,Vancouver,WA,,Charter College,,,21908.0
66,Anchorage,AK,,Alaska Career College,,10.0,
67,Tucson,AZ,,Empire Beauty School-Tucson,,12.0,
68,Glendale,AZ,,Thunderbird School of Global Management,,,
69,Phoenix,AZ,,American Institute of Trucking,,6.0,
70,Phoenix,AZ,,Carrington College-Phoenix North,0.7062,9.0,
71,Mesa,AZ,,Carrington College-Mesa,0.5529999999999999,9.0,
72,Tucson,AZ,,Carrington College-Tucson,0.9451,9.0,
73,Flagstaff,AZ,,CollegeAmerica-Flagstaff,,,16968.0
74,Tucson,AZ,,Arizona Academy of Beauty-East,,13.0,
75,Glendale,AZ,,Platt College-Arizona Automotive Institute Arizona,,10.0,
76,Phoenix,AZ,,Brookline College-Phoenix,,30.0,
77,Tempe,AZ,1235.0,Arizona State University-Tempe,0.8415,,10792.0
78,Yuma,AZ,,Arizona Western College,,,2660.0
79,Tucson,AZ,,University of Arizona,0.8358,,11877.0
80,Tucson,AZ,,Southwest University of Visual Arts-Tucson,,,23044.0
81,Coolidge,AZ,,Central Arizona College,,,2580.0
82,Tucson,AZ,,Brown Mackie College-Tucson,,,
83,Lake Havasu City,AZ,,Charles of Italy Beauty College,,12.0,
84,Sierra Vista,AZ,,Cochise County Community College District,,,1968.0
85,Flagstaff,AZ,,Empire Beauty School-Flagstaff,,12.0,
86,Chandler,AZ,,Empire Beauty School-Chandler,,12.0,
87,Tucson,AZ,,Cortiva Institute-Tucson,,8.0,
88,Mesa,AZ,,Avalon School of Cosmetology-Mesa,,14.0,
89,Thatcher,AZ,,Eastern Arizona College,,,2550.0
90,Prescott,AZ,1245.0,Embry-Riddle Aeronautical University-Prescott,0.7652,,34662.0
91,Scottsdale,AZ,,School of Architecture at Taliesin,,,
92,Glendale,AZ,,Glendale Community College,,,2094.0
93,Phoenix,AZ,,Grand Canyon University,0.6692,,17050.0
94,Phoenix,AZ,,GateWay Community College,,,2094.0
95,Mesa,AZ,,Mesa Community College,,,2094.0
96,Kingman,AZ,,Mohave Community College,,,2112.0
97,Phoenix,AZ,,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,,15.0,
98,Tsaile,AZ,,Dine College,,,1410.0
99,Flagstaff,AZ,,Northern Arizona University,0.8085,,11059.0
100,Holbrook,AZ,,Northland Pioneer College,,,1808.0
101,Phoenix,AZ,,Ottawa University-Phoenix,,,
102,Phoenix,AZ,,Phoenix College,,,2094.0
103,Scottsdale,AZ,,Cortiva Institute-Scottsdale,,8.0,
104,Tucson,AZ,,Pima Community College,,,2118.0
105,Tucson,AZ,,Pima Medical Institute-Tucson,,9.0,
106,Albuquerque,NM,,Pima Medical Institute-Albuquerque,,9.0,
107,Prescott,AZ,1132.0,Prescott College,0.9526,,30501.0
108,Phoenix,AZ,,Refrigeration School Inc,,10.0,
109,Tempe,AZ,,Rio Salado College,,,2094.0
110,Phoenix,AZ,,Roberto-Venn School of Luthiery,,5.0,
111,Safford,AZ,,Hair Academy of Safford,,13.0,
112,Scottsdale,AZ,,Scottsdale Community College,,,2094.0
113,Phoenix,AZ,,South Mountain Community College,,,2094.0
114,Phoenix,AZ,956.0,Arizona Christian University,0.6444,,24958.0
115,Avondale,AZ,,Universal Technical Institute of Arizona Inc,,19.0,
116,Tempe,AZ,,Western International University,,,6000.0
117,Phoenix,AZ,,Empire Beauty School-NW Phoenix,,12.0,
118,Prescott,AZ,,Yavapai College,,,2280.0
119,Little Rock,AR,1105.0,University of Arkansas at Little Rock,0.7463,,8998.0
120,Little Rock,AR,,University of Arkansas for Medical Sciences,,,
121,Little Rock,AR,,Arkansas Baptist College,,,8760.0
